product_name,opinion_id,sntiment,opinion,score,date
Clair Obscur: Expedition 33 (PS5 Version),22,positive,This quickly became one of my favorite PS5 releases. It surpassed my expectations.,5,2024-09-24
Clair Obscur: Expedition 33 (PS5 Version),23,positive,The difficulty settings are well designed. I would gladly play it again.,4,2024-04-20
Clair Obscur: Expedition 33 (PS5 Version),24,positive,Controls are intuitive and easy to get used to. I would gladly play it again.,4,2025-01-01
Clair Obscur: Expedition 33 (PS5 Version),25,positive,The sound design and music are very impressive. Definitely worth checking out if you enjoy adventure games.,5,2024-04-13
Clair Obscur: Expedition 33 (PS5 Version),26,positive,The atmosphere is immersive and kept me engaged. It surpassed my expectations.,5,2024-06-23
Clair Obscur: Expedition 33 (PS5 Version),27,positive,"The difficulty settings are well designed. Overall, a very enjoyable experience.",5,2024-07-01
Clair Obscur: Expedition 33 (PS5 Version),28,positive,"The game feels polished and carefully crafted. Overall, a very enjoyable experience.",4,2025-11-21
Clair Obscur: Expedition 33 (PS5 Version),29,positive,"The difficulty settings are well designed. Overall, a very enjoyable experience.",5,2025-03-23
Clair Obscur: Expedition 33 (PS5 Version),30,positive,I would confidently recommend this to others. A wonderful example of quality in this genre.,4,2025-07-12
Clair Obscur: Expedition 33 (PS5 Version),31,positive,The game feels polished and carefully crafted. Definitely worth checking out if you enjoy adventure games.,5,2025-03-01
Clair Obscur: Expedition 33 (PS5 Version),32,positive,Side activities feel meaningful and enjoyable. I had a great time throughout.,4,2024-07-16
Clair Obscur: Expedition 33 (PS5 Version),33,positive,"This quickly became one of my favorite PS5 releases. Overall, a very enjoyable experience.",5,2024-04-04
Clair Obscur: Expedition 33 (PS5 Version),34,positive,There is good replay value thanks to optional content. Definitely worth checking out if you enjoy adventure games.,4,2025-07-24
Clair Obscur: Expedition 33 (PS5 Version),35,positive,The level design is thoughtful and creative. I had a great time throughout.,5,2025-10-23
Clair Obscur: Expedition 33 (PS5 Version),36,positive,The game feels polished and carefully crafted. A wonderful example of quality in this genre.,5,2024-01-06
Clair Obscur: Expedition 33 (PS5 Version),37,positive,The atmosphere is immersive and kept me engaged. A wonderful example of quality in this genre.,5,2024-08-11
Clair Obscur: Expedition 33 (PS5 Version),38,positive,Boss encounters feel challenging yet fair. It surpassed my expectations.,4,2025-08-10
Clair Obscur: Expedition 33 (PS5 Version),39,positive,The pacing of the game is balanced and satisfying. It surpassed my expectations.,4,2024-02-29
Clair Obscur: Expedition 33 (PS5 Version),40,positive,Side activities feel meaningful and enjoyable. It surpassed my expectations.,4,2025-08-09
Clair Obscur: Expedition 33 (PS5 Version),41,positive,The pacing of the game is balanced and satisfying. I had a great time throughout.,5,2025-04-05
Clair Obscur: Expedition 33 (PS5 Version),42,positive,Side activities feel meaningful and enjoyable. A wonderful example of quality in this genre.,5,2025-05-24
Clair Obscur: Expedition 33 (PS5 Version),43,positive,The game performs well with almost no technical issues. I would gladly play it again.,5,2024-07-04
Clair Obscur: Expedition 33 (PS5 Version),44,positive,Combat feels smooth and responsive throughout. It surpassed my expectations.,4,2024-11-20
Clair Obscur: Expedition 33 (PS5 Version),45,positive,"The sound design and music are very impressive. Overall, a very enjoyable experience.",4,2024-07-03
Clair Obscur: Expedition 33 (PS5 Version),46,positive,I would confidently recommend this to others. Definitely worth checking out if you enjoy adventure games.,5,2025-04-24
Clair Obscur: Expedition 33 (PS5 Version),47,positive,The game performs well with almost no technical issues. I would gladly play it again.,5,2025-02-11
Clair Obscur: Expedition 33 (PS5 Version),48,positive,"Controls are intuitive and easy to get used to. Overall, a very enjoyable experience.",5,2024-02-25
Clair Obscur: Expedition 33 (PS5 Version),49,positive,The atmosphere is immersive and kept me engaged. I would gladly play it again.,5,2024-11-26
Clair Obscur: Expedition 33 (PS5 Version),50,positive,I found the characters memorable and well written. I would gladly play it again.,5,2025-07-01
Clair Obscur: Expedition 33 (PS5 Version),51,positive,The sound design and music are very impressive. I would gladly play it again.,5,2025-07-28
Clair Obscur: Expedition 33 (PS5 Version),52,positive,Controls are intuitive and easy to get used to. Definitely worth checking out if you enjoy adventure games.,5,2024-09-20
Clair Obscur: Expedition 33 (PS5 Version),53,positive,I genuinely enjoyed the game from start to finish. I had a great time throughout.,5,2024-07-25
Clair Obscur: Expedition 33 (PS5 Version),54,positive,Side activities feel meaningful and enjoyable. I would gladly play it again.,4,2024-11-15
Clair Obscur: Expedition 33 (PS5 Version),55,positive,I would confidently recommend this to others. It surpassed my expectations.,4,2024-08-21
Clair Obscur: Expedition 33 (PS5 Version),56,positive,Boss encounters feel challenging yet fair. I would gladly play it again.,5,2024-02-17
Clair Obscur: Expedition 33 (PS5 Version),57,positive,Exploring the world is exciting and rewarding. I would gladly play it again.,4,2025-01-24
Clair Obscur: Expedition 33 (PS5 Version),58,positive,The sound design and music are very impressive. I would gladly play it again.,5,2025-05-13
Clair Obscur: Expedition 33 (PS5 Version),59,positive,I would confidently recommend this to others. I would gladly play it again.,4,2024-04-06
Clair Obscur: Expedition 33 (PS5 Version),60,positive,The atmosphere is immersive and kept me engaged. Definitely worth checking out if you enjoy adventure games.,5,2024-03-27
Clair Obscur: Expedition 33 (PS5 Version),61,positive,The graphics look excellent on the PS5. Definitely worth checking out if you enjoy adventure games.,4,2024-12-14
Clair Obscur: Expedition 33 (PS5 Version),62,positive,The attention to detail in the environments is remarkable. I would gladly play it again.,5,2025-11-11
Clair Obscur: Expedition 33 (PS5 Version),63,positive,The graphics look excellent on the PS5. I would gladly play it again.,4,2024-09-01
Clair Obscur: Expedition 33 (PS5 Version),64,positive,"The game feels polished and carefully crafted. Overall, a very enjoyable experience.",4,2025-04-01
Clair Obscur: Expedition 33 (PS5 Version),65,positive,I genuinely enjoyed the game from start to finish. Definitely worth checking out if you enjoy adventure games.,4,2025-02-17
Clair Obscur: Expedition 33 (PS5 Version),66,positive,The game performs well with almost no technical issues. I would gladly play it again.,4,2025-06-01
Clair Obscur: Expedition 33 (PS5 Version),67,positive,I found the characters memorable and well written. I had a great time throughout.,4,2025-04-27
Clair Obscur: Expedition 33 (PS5 Version),68,positive,Side activities feel meaningful and enjoyable. I would gladly play it again.,4,2025-09-19
Clair Obscur: Expedition 33 (PS5 Version),69,positive,"The atmosphere is immersive and kept me engaged. Overall, a very enjoyable experience.",4,2025-11-21
Clair Obscur: Expedition 33 (PS5 Version),70,positive,Controls are intuitive and easy to get used to. A wonderful example of quality in this genre.,5,2025-11-10
Clair Obscur: Expedition 33 (PS5 Version),71,positive,Combat feels smooth and responsive throughout. It surpassed my expectations.,4,2024-10-16
Clair Obscur: Expedition 33 (PS5 Version),72,positive,"The level design is thoughtful and creative. Overall, a very enjoyable experience.",5,2024-08-16
Clair Obscur: Expedition 33 (PS5 Version),73,positive,The graphics look excellent on the PS5. I had a great time throughout.,5,2025-07-27
Clair Obscur: Expedition 33 (PS5 Version),74,positive,The difficulty settings are well designed. It surpassed my expectations.,5,2024-10-05
Clair Obscur: Expedition 33 (PS5 Version),75,positive,The sound design and music are very impressive. I had a great time throughout.,5,2025-03-10
Clair Obscur: Expedition 33 (PS5 Version),76,positive,The story is compelling and well presented. I had a great time throughout.,4,2024-05-16
Clair Obscur: Expedition 33 (PS5 Version),77,positive,The sound design and music are very impressive. It surpassed my expectations.,4,2025-10-21
Clair Obscur: Expedition 33 (PS5 Version),78,positive,The level design is thoughtful and creative. I had a great time throughout.,5,2024-04-09
Clair Obscur: Expedition 33 (PS5 Version),79,positive,Side activities feel meaningful and enjoyable. It surpassed my expectations.,4,2025-10-15
Clair Obscur: Expedition 33 (PS5 Version),80,positive,There is good replay value thanks to optional content. A wonderful example of quality in this genre.,5,2024-02-21
Clair Obscur: Expedition 33 (PS5 Version),81,positive,The game feels polished and carefully crafted. I would gladly play it again.,4,2025-08-23
Clair Obscur: Expedition 33 (PS5 Version),82,positive,The game performs well with almost no technical issues. It surpassed my expectations.,5,2024-01-10
Clair Obscur: Expedition 33 (PS5 Version),83,positive,The atmosphere is immersive and kept me engaged. A wonderful example of quality in this genre.,5,2024-10-11
Clair Obscur: Expedition 33 (PS5 Version),84,positive,The game performs well with almost no technical issues. A wonderful example of quality in this genre.,4,2025-03-22
Clair Obscur: Expedition 33 (PS5 Version),85,positive,The game feels polished and carefully crafted. Definitely worth checking out if you enjoy adventure games.,4,2024-07-14
Clair Obscur: Expedition 33 (PS5 Version),86,positive,The game performs well with almost no technical issues. I had a great time throughout.,4,2025-04-04
Clair Obscur: Expedition 33 (PS5 Version),87,positive,The pacing of the game is balanced and satisfying. A wonderful example of quality in this genre.,4,2025-07-09
Clair Obscur: Expedition 33 (PS5 Version),88,positive,The sound design and music are very impressive. A wonderful example of quality in this genre.,4,2025-01-02
Clair Obscur: Expedition 33 (PS5 Version),89,positive,Exploring the world is exciting and rewarding. I would gladly play it again.,4,2024-06-13
Clair Obscur: Expedition 33 (PS5 Version),90,positive,Exploring the world is exciting and rewarding. I would gladly play it again.,5,2024-05-13
Clair Obscur: Expedition 33 (PS5 Version),91,positive,Controls are intuitive and easy to get used to. It surpassed my expectations.,4,2025-02-21
Clair Obscur: Expedition 33 (PS5 Version),92,positive,The atmosphere is immersive and kept me engaged. It surpassed my expectations.,4,2025-04-04
Clair Obscur: Expedition 33 (PS5 Version),93,positive,"The difficulty settings are well designed. Overall, a very enjoyable experience.",4,2024-10-06
Clair Obscur: Expedition 33 (PS5 Version),94,positive,"The atmosphere is immersive and kept me engaged. Overall, a very enjoyable experience.",5,2024-09-01
Clair Obscur: Expedition 33 (PS5 Version),95,positive,The game feels polished and carefully crafted. Definitely worth checking out if you enjoy adventure games.,4,2025-05-20
Clair Obscur: Expedition 33 (PS5 Version),96,positive,I would confidently recommend this to others. It surpassed my expectations.,4,2024-09-26
Clair Obscur: Expedition 33 (PS5 Version),97,positive,The pacing of the game is balanced and satisfying. I had a great time throughout.,4,2024-09-07
Clair Obscur: Expedition 33 (PS5 Version),98,positive,I found the characters memorable and well written. Definitely worth checking out if you enjoy adventure games.,4,2025-01-10
Clair Obscur: Expedition 33 (PS5 Version),99,positive,This quickly became one of my favorite PS5 releases. It surpassed my expectations.,4,2024-04-06
Clair Obscur: Expedition 33 (PS5 Version),100,positive,"This quickly became one of my favorite PS5 releases. Overall, a very enjoyable experience.",5,2025-11-17
Clair Obscur: Expedition 33 (PS5 Version),101,negative,I don’t think the game offers good value at full price. It would benefit from additional updates.,0,2025-05-25
Clair Obscur: Expedition 33 (PS5 Version),102,negative,The controls can feel awkward in several situations. It would benefit from additional updates.,2,2025-04-30
Clair Obscur: Expedition 33 (PS5 Version),103,negative,"I encountered noticeable performance issues. Unfortunately, it wasn’t enjoyable for me.",2,2024-12-22
Clair Obscur: Expedition 33 (PS5 Version),104,negative,The characters feel underdeveloped and lacking depth. I eventually stopped playing.,1,2024-10-05
Clair Obscur: Expedition 33 (PS5 Version),105,negative,The visuals are not as impressive as expected for a PS5 title. This could have been much better with more development time.,2,2024-09-15
Clair Obscur: Expedition 33 (PS5 Version),106,negative,Some encounters feel poorly balanced. I’m not sure I would recommend it right now.,0,2025-10-26
Clair Obscur: Expedition 33 (PS5 Version),107,negative,"Overall, the game feels unfinished. Unfortunately, it wasn’t enjoyable for me.",0,2025-06-07
Clair Obscur: Expedition 33 (PS5 Version),108,negative,I ended up feeling disappointed with this game. I eventually stopped playing.,0,2024-02-10
Clair Obscur: Expedition 33 (PS5 Version),109,negative,The menus and interface feel unintuitive. I’m not sure I would recommend it right now.,1,2024-10-19
Clair Obscur: Expedition 33 (PS5 Version),110,negative,The game froze or crashed more than once. This could have been much better with more development time.,0,2025-02-08
Clair Obscur: Expedition 33 (PS5 Version),111,negative,The pacing feels slow and drawn out. I eventually stopped playing.,2,2024-04-25
Clair Obscur: Expedition 33 (PS5 Version),112,negative,There are several bugs that affect the experience. It didn’t live up to my expectations.,2,2024-09-03
Clair Obscur: Expedition 33 (PS5 Version),113,negative,"The pacing feels slow and drawn out. Unfortunately, it wasn’t enjoyable for me.",1,2025-01-24
Clair Obscur: Expedition 33 (PS5 Version),114,negative,"Overall, the game feels unfinished. It would benefit from additional updates.",0,2024-02-01
Clair Obscur: Expedition 33 (PS5 Version),115,negative,The level design can be confusing in certain areas. This could have been much better with more development time.,2,2024-08-02
Clair Obscur: Expedition 33 (PS5 Version),116,negative,Enemy variety is limited. It would benefit from additional updates.,0,2025-02-07
Clair Obscur: Expedition 33 (PS5 Version),117,negative,The pacing feels slow and drawn out. It would benefit from additional updates.,0,2024-06-15
Clair Obscur: Expedition 33 (PS5 Version),118,negative,I don’t think the game offers good value at full price. I’m not sure I would recommend it right now.,1,2025-06-24
Clair Obscur: Expedition 33 (PS5 Version),119,negative,The game froze or crashed more than once. It would benefit from additional updates.,2,2024-11-24
Clair Obscur: Expedition 33 (PS5 Version),120,negative,The level design can be confusing in certain areas. It would benefit from additional updates.,0,2025-05-16
Clair Obscur: Expedition 33 (PS5 Version),121,negative,"There are several bugs that affect the experience. Unfortunately, it wasn’t enjoyable for me.",2,2024-10-13
Clair Obscur: Expedition 33 (PS5 Version),122,negative,"The pacing feels slow and drawn out. Unfortunately, it wasn’t enjoyable for me.",2,2025-04-02
Clair Obscur: Expedition 33 (PS5 Version),123,negative,Enemy variety is limited. This could have been much better with more development time.,0,2024-07-25
Clair Obscur: Expedition 33 (PS5 Version),124,negative,I ended up feeling disappointed with this game. This could have been much better with more development time.,0,2024-03-23
Clair Obscur: Expedition 33 (PS5 Version),125,negative,Loading times can be longer than expected. This could have been much better with more development time.,0,2025-03-24
Clair Obscur: Expedition 33 (PS5 Version),126,negative,The visuals are not as impressive as expected for a PS5 title. It didn’t live up to my expectations.,0,2025-10-15
Clair Obscur: Expedition 33 (PS5 Version),127,negative,Loading times can be longer than expected. I’m not sure I would recommend it right now.,0,2025-10-02
Clair Obscur: Expedition 33 (PS5 Version),128,negative,Combat can feel stiff and unresponsive at times. It would benefit from additional updates.,0,2025-10-28
Clair Obscur: Expedition 33 (PS5 Version),129,negative,I ended up feeling disappointed with this game. I eventually stopped playing.,2,2024-07-01
Clair Obscur: Expedition 33 (PS5 Version),130,negative,The menus and interface feel unintuitive. It didn’t live up to my expectations.,0,2024-03-23
Clair Obscur: Expedition 33 (PS5 Version),131,negative,Combat can feel stiff and unresponsive at times. This could have been much better with more development time.,1,2024-08-19
Clair Obscur: Expedition 33 (PS5 Version),132,negative,The game froze or crashed more than once. It would benefit from additional updates.,2,2025-09-04
Clair Obscur: Expedition 33 (PS5 Version),133,negative,"Overall, the game feels unfinished. It would benefit from additional updates.",2,2025-06-04
Clair Obscur: Expedition 33 (PS5 Version),134,negative,The controls can feel awkward in several situations. This could have been much better with more development time.,0,2024-11-04
Clair Obscur: Expedition 33 (PS5 Version),135,negative,I ended up feeling disappointed with this game. It didn’t live up to my expectations.,2,2025-08-10
Clair Obscur: Expedition 33 (PS5 Version),136,negative,The game froze or crashed more than once. I eventually stopped playing.,2,2025-04-23
Clair Obscur: Expedition 33 (PS5 Version),137,negative,The characters feel underdeveloped and lacking depth. It didn’t live up to my expectations.,2,2025-11-02
Clair Obscur: Expedition 33 (PS5 Version),138,negative,The visuals are not as impressive as expected for a PS5 title. I eventually stopped playing.,1,2025-02-07
Clair Obscur: Expedition 33 (PS5 Version),139,negative,The pacing feels slow and drawn out. It didn’t live up to my expectations.,0,2024-07-11
Clair Obscur: Expedition 33 (PS5 Version),140,negative,Enemy variety is limited. This could have been much better with more development time.,0,2024-07-02
Clair Obscur: Expedition 33 (PS5 Version),141,negative,Loading times can be longer than expected. I’m not sure I would recommend it right now.,0,2024-02-24
Clair Obscur: Expedition 33 (PS5 Version),142,negative,Some encounters feel poorly balanced. It didn’t live up to my expectations.,1,2024-05-07
Clair Obscur: Expedition 33 (PS5 Version),143,negative,The characters feel underdeveloped and lacking depth. I eventually stopped playing.,2,2024-02-12
Clair Obscur: Expedition 33 (PS5 Version),144,negative,"The voice acting feels inconsistent. Unfortunately, it wasn’t enjoyable for me.",2,2025-11-11
Clair Obscur: Expedition 33 (PS5 Version),145,negative,"The visuals are not as impressive as expected for a PS5 title. Unfortunately, it wasn’t enjoyable for me.",1,2025-09-19
Clair Obscur: Expedition 33 (PS5 Version),146,negative,Enemy variety is limited. I eventually stopped playing.,2,2025-03-18
Clair Obscur: Expedition 33 (PS5 Version),147,negative,I encountered noticeable performance issues. It didn’t live up to my expectations.,1,2025-07-17
Clair Obscur: Expedition 33 (PS5 Version),148,negative,The voice acting feels inconsistent. I eventually stopped playing.,2,2025-10-22
Clair Obscur: Expedition 33 (PS5 Version),149,negative,The menus and interface feel unintuitive. I’m not sure I would recommend it right now.,1,2025-01-31
Clair Obscur: Expedition 33 (PS5 Version),150,negative,"There are several bugs that affect the experience. Unfortunately, it wasn’t enjoyable for me.",1,2025-07-03
Clair Obscur: Expedition 33 (PS5 Version),151,negative,Loading times can be longer than expected. I eventually stopped playing.,0,2025-08-13
Clair Obscur: Expedition 33 (PS5 Version),152,negative,Optional content feels uninteresting. It would benefit from additional updates.,0,2025-08-05
Clair Obscur: Expedition 33 (PS5 Version),153,negative,The pacing feels slow and drawn out. It didn’t live up to my expectations.,1,2024-09-22
Clair Obscur: Expedition 33 (PS5 Version),154,negative,I ended up feeling disappointed with this game. I’m not sure I would recommend it right now.,0,2025-09-24
Clair Obscur: Expedition 33 (PS5 Version),155,negative,I ended up feeling disappointed with this game. I eventually stopped playing.,0,2024-10-20
Clair Obscur: Expedition 33 (PS5 Version),156,negative,Combat can feel stiff and unresponsive at times. It didn’t live up to my expectations.,2,2024-08-07
Clair Obscur: Expedition 33 (PS5 Version),157,negative,Enemy variety is limited. This could have been much better with more development time.,2,2025-03-13
Clair Obscur: Expedition 33 (PS5 Version),158,negative,The game froze or crashed more than once. It would benefit from additional updates.,2,2024-08-22
Clair Obscur: Expedition 33 (PS5 Version),159,negative,The voice acting feels inconsistent. I’m not sure I would recommend it right now.,0,2025-02-14
Clair Obscur: Expedition 33 (PS5 Version),160,negative,"Overall, the game feels unfinished. It would benefit from additional updates.",0,2025-11-14
Clair Obscur: Expedition 33 (PS5 Version),161,negative,The level design can be confusing in certain areas. I’m not sure I would recommend it right now.,1,2025-01-04
Clair Obscur: Expedition 33 (PS5 Version),162,negative,The controls can feel awkward in several situations. It would benefit from additional updates.,1,2025-01-23
Clair Obscur: Expedition 33 (PS5 Version),163,negative,"Overall, the game feels unfinished. Unfortunately, it wasn’t enjoyable for me.",2,2024-05-09
Clair Obscur: Expedition 33 (PS5 Version),164,negative,The pacing feels slow and drawn out. It would benefit from additional updates.,2,2024-07-13
Clair Obscur: Expedition 33 (PS5 Version),165,negative,"The visuals are not as impressive as expected for a PS5 title. Unfortunately, it wasn’t enjoyable for me.",0,2025-03-22
Clair Obscur: Expedition 33 (PS5 Version),166,negative,The voice acting feels inconsistent. This could have been much better with more development time.,2,2024-11-03
Clair Obscur: Expedition 33 (PS5 Version),167,negative,I don’t think the game offers good value at full price. This could have been much better with more development time.,0,2025-04-15
Clair Obscur: Expedition 33 (PS5 Version),168,negative,The characters feel underdeveloped and lacking depth. I eventually stopped playing.,2,2025-11-15
Clair Obscur: Expedition 33 (PS5 Version),169,negative,"Some encounters feel poorly balanced. Unfortunately, it wasn’t enjoyable for me.",2,2024-02-17
Clair Obscur: Expedition 33 (PS5 Version),170,negative,The characters feel underdeveloped and lacking depth. It would benefit from additional updates.,0,2024-02-02
Clair Obscur: Expedition 33 (PS5 Version),171,negative,"Loading times can be longer than expected. Unfortunately, it wasn’t enjoyable for me.",2,2025-03-20
Clair Obscur: Expedition 33 (PS5 Version),172,negative,"Overall, the game feels unfinished. It would benefit from additional updates.",1,2024-06-02
Clair Obscur: Expedition 33 (PS5 Version),173,negative,"The menus and interface feel unintuitive. Unfortunately, it wasn’t enjoyable for me.",1,2025-05-29
Clair Obscur: Expedition 33 (PS5 Version),174,negative,The controls can feel awkward in several situations. This could have been much better with more development time.,2,2025-10-22
Clair Obscur: Expedition 33 (PS5 Version),175,negative,"Optional content feels uninteresting. Unfortunately, it wasn’t enjoyable for me.",2,2025-10-28
Clair Obscur: Expedition 33 (PS5 Version),176,negative,The voice acting feels inconsistent. I eventually stopped playing.,0,2025-03-20
Clair Obscur: Expedition 33 (PS5 Version),177,negative,"The game froze or crashed more than once. Unfortunately, it wasn’t enjoyable for me.",2,2025-06-23
Clair Obscur: Expedition 33 (PS5 Version),178,negative,The characters feel underdeveloped and lacking depth. I eventually stopped playing.,2,2025-05-31
Clair Obscur: Expedition 33 (PS5 Version),179,negative,The game froze or crashed more than once. I’m not sure I would recommend it right now.,0,2024-05-16
Clair Obscur: Expedition 33 (PS5 Version),180,negative,The voice acting feels inconsistent. I eventually stopped playing.,0,2025-09-04
Clair Obscur: Expedition 33 (PS5 Version),181,negative,The visuals are not as impressive as expected for a PS5 title. I eventually stopped playing.,0,2025-10-27
Clair Obscur: Expedition 33 (PS5 Version),182,negative,Some encounters feel poorly balanced. It didn’t live up to my expectations.,1,2025-11-08
Clair Obscur: Expedition 33 (PS5 Version),183,negative,"The characters feel underdeveloped and lacking depth. Unfortunately, it wasn’t enjoyable for me.",1,2025-09-19
Clair Obscur: Expedition 33 (PS5 Version),184,negative,The pacing feels slow and drawn out. It would benefit from additional updates.,0,2024-01-24
Clair Obscur: Expedition 33 (PS5 Version),185,negative,I encountered noticeable performance issues. It didn’t live up to my expectations.,1,2025-10-18
Clair Obscur: Expedition 33 (PS5 Version),186,negative,The controls can feel awkward in several situations. This could have been much better with more development time.,1,2024-10-06
Clair Obscur: Expedition 33 (PS5 Version),187,negative,"Optional content feels uninteresting. Unfortunately, it wasn’t enjoyable for me.",1,2025-07-06
Clair Obscur: Expedition 33 (PS5 Version),188,negative,"Combat can feel stiff and unresponsive at times. Unfortunately, it wasn’t enjoyable for me.",0,2024-11-11
Clair Obscur: Expedition 33 (PS5 Version),189,negative,There are several bugs that affect the experience. I eventually stopped playing.,0,2024-11-06
Clair Obscur: Expedition 33 (PS5 Version),190,negative,The menus and interface feel unintuitive. This could have been much better with more development time.,0,2025-02-20
Clair Obscur: Expedition 33 (PS5 Version),191,negative,"The gameplay becomes repetitive after a while. Unfortunately, it wasn’t enjoyable for me.",0,2025-04-22
Clair Obscur: Expedition 33 (PS5 Version),192,negative,The gameplay becomes repetitive after a while. It would benefit from additional updates.,1,2024-08-08
Clair Obscur: Expedition 33 (PS5 Version),193,negative,"The level design can be confusing in certain areas. Unfortunately, it wasn’t enjoyable for me.",2,2025-08-19
Clair Obscur: Expedition 33 (PS5 Version),194,negative,"The controls can feel awkward in several situations. Unfortunately, it wasn’t enjoyable for me.",2,2025-03-11
Clair Obscur: Expedition 33 (PS5 Version),195,negative,"Optional content feels uninteresting. Unfortunately, it wasn’t enjoyable for me.",1,2025-07-11
Clair Obscur: Expedition 33 (PS5 Version),196,negative,The controls can feel awkward in several situations. It would benefit from additional updates.,1,2024-07-02
Clair Obscur: Expedition 33 (PS5 Version),197,negative,Loading times can be longer than expected. It would benefit from additional updates.,0,2024-06-24
Clair Obscur: Expedition 33 (PS5 Version),198,negative,I ended up feeling disappointed with this game. It would benefit from additional updates.,1,2025-06-19
Clair Obscur: Expedition 33 (PS5 Version),199,negative,"The characters feel underdeveloped and lacking depth. Unfortunately, it wasn’t enjoyable for me.",0,2025-10-30
Clair Obscur: Expedition 33 (PS5 Version),200,negative,The characters feel underdeveloped and lacking depth. It would benefit from additional updates.,0,2024-10-06
