Product Name,Opinion ID,Sentiment,Opinion,Score
Polish-Lithuanian Commonwealth,179,negative,"It failed to universalize legal equality.",2
Polish-Lithuanian Commonwealth,180,negative,"The government often avoided necessary structural reforms.",2
Polish-Lithuanian Commonwealth,181,negative,"Foreign ambassadors exerted undue influence in domestic politics.",1
Polish-Lithuanian Commonwealth,182,negative,"The nation became divided against itself in its final decades.",2
Polish-Lithuanian Commonwealth,183,negative,"Cultural assimilation policies sometimes caused resentment.",2
Polish-Lithuanian Commonwealth,184,negative,"Magnates at times acted like independent rulers.",1
Polish-Lithuanian Commonwealth,185,negative,"State authority eroded over time.",1
Polish-Lithuanian Commonwealth,186,negative,"Political idealism often overshadowed pragmatic governance.",2
Polish-Lithuanian Commonwealth,187,negative,"Its final years were marked by instability and decline.",1
Polish-Lithuanian Commonwealth,188,negative,"The Commonwealth ultimately proved unable to preserve its territorial integrity.",1
Polish-Lithuanian Commonwealth,189,negative,"The political culture resisted modernization until too late.",1
Polish-Lithuanian Commonwealth,190,negative,"Despite noble freedoms, the system disenfranchised the majority.",2
Polish-Lithuanian Commonwealth,191,negative,"The state collapsed under its own internal weaknesses as much as external pressures.",1
Polish-Lithuanian Commonwealth,192,negative,"Its legacy includes not only glory but failure and mismanagement.",2
Polish-Lithuanian Commonwealth,193,negative,"Its laws were overly complex and inconsistently applied.",2
Polish-Lithuanian Commonwealth,194,negative,"Regional jealousies prevented stronger unity.",2
Polish-Lithuanian Commonwealth,195,negative,"It weakened itself through political stubbornness.",1
Polish-Lithuanian Commonwealth,196,negative,"Its leaders underestimated emerging threats from neighbors.",1
Polish-Lithuanian Commonwealth,197,negative,"Attempts at reform were blocked repeatedly by vested interests.",2
Polish-Lithuanian Commonwealth,198,negative,"The class system prevented upward mobility.",2
Polish-Lithuanian Commonwealth,199,negative,"Its decline was gradual but unavoidable.",1
Polish-Lithuanian Commonwealth,200,negative,"Its dissolution reshaped Central European politics in tragic ways.",1
