"product_name","opinion_id","sentiment","opinion"
"A Court of Thorns and Roses","92","Positive","Could not put the reader down, stayed up all night. It was worth it!"
"A Court of Thorns and Roses","93","Positive","Interesting take on fae. They aren't cute fairies, but beasts."
"A Court of Thorns and Roses","94","Positive","Maas is the queen of fantasy. Period."
"A Court of Thorns and Roses","95","Negative","Boredom, boredom and more boredom. Nothing happens for 200 pages."
"A Court of Thorns and Roses","96","Positive","Magical, brutal and beautiful story."
"A Court of Thorns and Roses","97","Positive","The chemistry between the characters is palpable from the first pages."
"A Court of Thorns and Roses","98","Neutral","Cool idea, average execution."
"A Court of Thorns and Roses","99","Positive","If you are hesitating whether to buy - BUY IT. You won't regret it."
"A Court of Thorns and Roses","100","Positive","My new obsession. TikTok was right."
"A Court of Thorns and Roses","101","Positive","Pretty solid fantasy, although a bit too much romance at times."
"A Court of Thorns and Roses","102","Positive","Beautiful cover and even better interior."
"A Court of Thorns and Roses","103","Negative","The main character is a typical Mary Sue. She succeeds at everything."
"A Court of Thorns and Roses","104","Positive","The world of Prythian is so colorful I would like to live there."
"A Court of Thorns and Roses","105","Positive","Interesting interpretation of the fairy tale."
"A Court of Thorns and Roses","106","Positive","Rhysand is the most intriguing character ever."
"A Court of Thorns and Roses","107","Neutral","Reads fast, but is also forgotten fast."
"A Court of Thorns and Roses","108","Positive","Emotions, emotions and more emotions. I cried at the ending."
"A Court of Thorns and Roses","109","Positive","Perfect gift for a fantasy fan."
"A Court of Thorns and Roses","110","Positive","Brutal at times, which surprised me positively."
"A Court of Thorns and Roses","111","Negative","Do not recommend. Waste of time and money."
"A Court of Thorns and Roses","112","Positive","Waiting for the screen adaptation! It would be a hit."
"A Court of Thorns and Roses","113","Positive","I love the hate-love relationship in this book."
"A Court of Thorns and Roses","114","Positive","A bit predictable, but very pleasant."
"A Court of Thorns and Roses","115","Neutral","Annoying dialogues. But the world-building saves the situation."
"A Court of Thorns and Roses","116","Positive","Best Beauty and the Beast retelling I've read."
"A Court of Thorns and Roses","117","Positive","Love, love, love!"
"A Court of Thorns and Roses","118","Negative","Too many descriptions of outfits and food, too little action."
"A Court of Thorns and Roses","119","Positive","The author's name obliges. Another masterpiece."
"A Court of Thorns and Roses","120","Positive","Feyra is a strong gal, I like her determination."
"A Court of Thorns and Roses","121","Positive","The ending pins you to the chair."
"A Court of Thorns and Roses","122","Positive","I didn't expect fantasy to be so sensual."
"A Court of Thorns and Roses","123","Neutral","It's okay, but for younger readers."
"A Court of Thorns and Roses","124","Positive","Every page is a pleasure."
"A Court of Thorns and Roses","125","Positive","Very plastic language."
"A Court of Thorns and Roses","126","Positive","This book is an emotional rollercoaster."
"A Court of Thorns and Roses","127","Negative","Bottom. Couldn't finish it."
"A Court of Thorns and Roses","128","Positive","Recommend to everyone who likes magic."
"A Court of Thorns and Roses","129","Positive","Tamlin is wonderful, although a bit possessive."
"A Court of Thorns and Roses","130","Positive","Interesting magic system."
"A Court of Thorns and Roses","131","Positive","Read it in one weekend."
"A Court of Thorns and Roses","132","Neutral","Expected something more after all these raves."
"A Court of Thorns and Roses","133","Positive","Super book for a reading slump."
"A Court of Thorns and Roses","134","Positive","Sucks you in like a swamp!"
"A Court of Thorns and Roses","135","Negative","Boredom. Only the last 50 pages are interesting."
"A Court of Thorns and Roses","136","Positive","One of those books you think about long after reading."
"A Court of Thorns and Roses","137","Positive","Well written, though schematic."
"A Court of Thorns and Roses","138","Positive","Fantastic debut of a new series."
"A Court of Thorns and Roses","139","Positive","Rhysand stole the show, even though he was barely there."
"A Court of Thorns and Roses","140","Neutral","Average. There are better ones in this genre."
"A Court of Thorns and Roses","141","Positive","Recommend, recommend, recommend!"
"A Court of Thorns and Roses","142","Positive","Very mature fantasy."
"A Court of Thorns and Roses","143","Positive","Sometimes descriptions are too lengthy, but overall a plus."
"A Court of Thorns and Roses","144","Positive","I also bought the paper version to have on the shelf."
"A Court of Thorns and Roses","145","Negative","Graphomania."
"A Court of Thorns and Roses","146","Positive","Pure magic."
"A Court of Thorns and Roses","147","Positive","Can't wait to reach for A Court of Mist and Fury."
"A Court of Thorns and Roses","148","Positive","Cool atmosphere, a bit dark."
"A Court of Thorns and Roses","149","Neutral","Feyra annoyed me with her stubbornness."
"A Court of Thorns and Roses","150","Positive","Great escape from everyday life."
"A Court of Thorns and Roses","151","Positive","This book has that 'something'."
"A Court of Thorns and Roses","152","Negative","Weak dialogues, artificial problems."
"A Court of Thorns and Roses","153","Positive","One of my favorite fantasy series."
"A Court of Thorns and Roses","154","Positive","I really liked the curse plot."
"A Court of Thorns and Roses","155","Positive","Solid 4/5. Had a good time."
"A Court of Thorns and Roses","156","Positive","Amazing chemistry and tension."
"A Court of Thorns and Roses","157","Neutral","Drags a bit, but bearable."
"A Court of Thorns and Roses","158","Positive","Must have for S.J. Maas fans."
"A Court of Thorns and Roses","159","Positive","Bought the whole series immediately and I don't regret it."
"A Court of Thorns and Roses","160","Negative","Don't understand the hype. Boredom."
"A Court of Thorns and Roses","161","Positive","Greatly created supporting characters."
"A Court of Thorns and Roses","162","Positive","Very emotional reading."
"A Court of Thorns and Roses","163","Positive","Interesting world, though the map is a bit small."
"A Court of Thorns and Roses","164","Positive","I love this vibe!"
"A Court of Thorns and Roses","165","Neutral","Okay for teenagers, a bit naive for older ones."
"A Court of Thorns and Roses","166","Positive","Beautiful story about sacrifice."
"A Court of Thorns and Roses","167","Positive","I couldn't stop reading."
"A Court of Thorns and Roses","168","Negative","Too predictable. You know how it ends right away."
"A Court of Thorns and Roses","169","Positive","Pure magic."
"A Court of Thorns and Roses","170","Positive","Best book of this month."
"A Court of Thorns and Roses","171","Positive","Good start to the series."
"A Court of Thorns and Roses","172","Positive","Maas knows how to write like no one else."
"A Court of Thorns and Roses","173","Neutral","So-so, to read on the train."
"A Court of Thorns and Roses","174","Positive","I love the Amarantha plot, great villain."
"A Court of Thorns and Roses","175","Positive","10/10, recommend to everyone."
"A Court of Thorns and Roses","176","Negative","Didn't make it to the end."
"A Court of Thorns and Roses","177","Positive","Wonderful, fairy-tale atmosphere."
"A Court of Thorns and Roses","178","Positive","The scenes Under the Mountain were amazing!"
"A Court of Thorns and Roses","179","Positive","A bit too much romance, too little fighting, but ok."
"A Court of Thorns and Roses","180","Positive","Brilliant book."
"A Court of Thorns and Roses","181","Positive","I already miss these characters."
"A Court of Thorns and Roses","182","Neutral","It's okay, but nothing spectacular."
"A Court of Thorns and Roses","183","Positive","Wonderful adventure."
"A Court of Thorns and Roses","184","Negative","Exhausting read."
"A Court of Thorns and Roses","185","Positive","One of the better books I've read."
"A Court of Thorns and Roses","186","Positive","Recommend hotly!"
"A Court of Thorns and Roses","187","Positive","Cool plot twists."
"A Court of Thorns and Roses","188","Positive","Love Maas's writing style."
"A Court of Thorns and Roses","189","Neutral","Mediocre."
"A Court of Thorns and Roses","190","Positive","Beautiful love story."
"A Court of Thorns and Roses","191","Positive","Hooks from the first page."
"A Court of Thorns and Roses","192","Negative","Weak."
"A Court of Thorns and Roses","193","Positive","Revelation!"
"A Court of Thorns and Roses","194","Positive","Waiting for more."
"A Court of Thorns and Roses","195","Positive","Very pleasant reading."
"A Court of Thorns and Roses","196","Positive","Recommend with all my heart."
"A Court of Thorns and Roses","197","Neutral","Readable."
"A Court of Thorns and Roses","198","Positive","Super!"
"A Court of Thorns and Roses","199","Positive","Mega engaging."
"A Court of Thorns and Roses","200","Positive","Love this series!"
