"product_name","opinion_id","sentiment","opinion"
"LEGO Star Wars Millennium Falcon 75192","111","Negative","My back hurts from bending over the table building this."
"LEGO Star Wars Millennium Falcon 75192","112","Positive","Highly recommended for advanced builders."
"LEGO Star Wars Millennium Falcon 75192","113","Positive","The hidden compartment under the floor is a nice easter egg."
"LEGO Star Wars Millennium Falcon 75192","114","Neutral","Needs a stand included in the box."
"LEGO Star Wars Millennium Falcon 75192","115","Positive","Impressive. Most impressive."
"LEGO Star Wars Millennium Falcon 75192","116","Positive","The details on the hull are mesmerizing."
"LEGO Star Wars Millennium Falcon 75192","117","Positive","It's huge! I underestimated the size."
"LEGO Star Wars Millennium Falcon 75192","118","Negative","Felt like a chore to finish towards the end."
"LEGO Star Wars Millennium Falcon 75192","119","Positive","The ultimate hunk of junk!"
"LEGO Star Wars Millennium Falcon 75192","120","Positive","Perfect for my man cave."
"LEGO Star Wars Millennium Falcon 75192","121","Neutral","Rey's hair piece is a bit off."
"LEGO Star Wars Millennium Falcon 75192","122","Positive","The engineering team deserves a medal."
"LEGO Star Wars Millennium Falcon 75192","123","Positive","Looks stunning on a vertical stand."
"LEGO Star Wars Millennium Falcon 75192","124","Negative","Box was damaged in transit."
"LEGO Star Wars Millennium Falcon 75192","125","Positive","Best anniversary present ever."
"LEGO Star Wars Millennium Falcon 75192","126","Positive","The scale is perfect for minifigures."
"LEGO Star Wars Millennium Falcon 75192","127","Neutral","Takes up too much space."
"LEGO Star Wars Millennium Falcon 75192","128","Positive","A rewarding experience."
"LEGO Star Wars Millennium Falcon 75192","129","Positive","The blaster cannon is detailed."
"LEGO Star Wars Millennium Falcon 75192","130","Negative","Not for kids. Too complex."
"LEGO Star Wars Millennium Falcon 75192","131","Positive","I am one with the Force, the Force is with me. And this set."
"LEGO Star Wars Millennium Falcon 75192","132","Positive","Great instruction manual organization."
"LEGO Star Wars Millennium Falcon 75192","133","Neutral","Stickers on the canopy frame are tricky to align."
"LEGO Star Wars Millennium Falcon 75192","134","Positive","A conversation starter."
"LEGO Star Wars Millennium Falcon 75192","135","Positive","The tubes on the back engine look cool."
"LEGO Star Wars Millennium Falcon 75192","136","Negative","Too expensive."
"LEGO Star Wars Millennium Falcon 75192","137","Positive","Love the interchangeable sensor dishes."
"LEGO Star Wars Millennium Falcon 75192","138","Positive","The pinnacle of my collection."
"LEGO Star Wars Millennium Falcon 75192","139","Neutral","Heavy and awkward to lift."
"LEGO Star Wars Millennium Falcon 75192","140","Positive","Exceeded my expectations."
"LEGO Star Wars Millennium Falcon 75192","141","Positive","The inner frame is very Technic-heavy but sturdy."
"LEGO Star Wars Millennium Falcon 75192","142","Negative","One bag was duplicated, had to contact support."
"LEGO Star Wars Millennium Falcon 75192","143","Positive","The details are endless."
"LEGO Star Wars Millennium Falcon 75192","144","Positive","Superb quality bricks."
"LEGO Star Wars Millennium Falcon 75192","145","Neutral","Would prefer printed cockpit glass."
"LEGO Star Wars Millennium Falcon 75192","146","Positive","Fantastic display model."
"LEGO Star Wars Millennium Falcon 75192","147","Positive","Took 24 hours of build time. Worth it."
"LEGO Star Wars Millennium Falcon 75192","148","Negative","Some steps are confusing."
"LEGO Star Wars Millennium Falcon 75192","149","Positive","A beautiful monster."
"LEGO Star Wars Millennium Falcon 75192","150","Positive","The design flows perfectly."
"LEGO Star Wars Millennium Falcon 75192","151","Neutral","Difficult to dust."
"LEGO Star Wars Millennium Falcon 75192","152","Positive","Great assortment of pieces."
"LEGO Star Wars Millennium Falcon 75192","153","Positive","The best Falcon LEGO has ever made."
"LEGO Star Wars Millennium Falcon 75192","154","Negative","Disappointed with the lack of interior space."
"LEGO Star Wars Millennium Falcon 75192","155","Positive","The perfect lockdown activity."
"LEGO Star Wars Millennium Falcon 75192","156","Positive","The box design is premium."
"LEGO Star Wars Millennium Falcon 75192","157","Neutral","Hard to justify the price to my spouse."
"LEGO Star Wars Millennium Falcon 75192","158","Positive","Amazing set."
"LEGO Star Wars Millennium Falcon 75192","159","Positive","The curvature of the hull is achieved nicely."
"LEGO Star Wars Millennium Falcon 75192","160","Negative","A few pieces were loose in the box."
"LEGO Star Wars Millennium Falcon 75192","161","Positive","Incredible value per hour of building."
"LEGO Star Wars Millennium Falcon 75192","162","Positive","My fingers hurt but my heart is full."
"LEGO Star Wars Millennium Falcon 75192","163","Neutral","It's very grey."
"LEGO Star Wars Millennium Falcon 75192","164","Positive","The iconic ship in all its glory."
"LEGO Star Wars Millennium Falcon 75192","165","Positive","Fun build."
"LEGO Star Wars Millennium Falcon 75192","166","Negative","Too fragile for play."
"LEGO Star Wars Millennium Falcon 75192","167","Positive","A dream build."
"LEGO Star Wars Millennium Falcon 75192","168","Positive","The scale is breathtaking."
"LEGO Star Wars Millennium Falcon 75192","169","Neutral","Could use more minifigures."
"LEGO Star Wars Millennium Falcon 75192","170","Positive","Simply the best."
"LEGO Star Wars Millennium Falcon 75192","171","Positive","Detailed and massive."
"LEGO Star Wars Millennium Falcon 75192","172","Negative","Instruction booklet spine broke."
"LEGO Star Wars Millennium Falcon 75192","173","Positive","Awesome."
"LEGO Star Wars Millennium Falcon 75192","174","Positive","The Force is strong with this one."
"LEGO Star Wars Millennium Falcon 75192","175","Neutral","Need a bigger house for this."
"LEGO Star Wars Millennium Falcon 75192","176","Positive","Great variety of parts."
"LEGO Star Wars Millennium Falcon 75192","177","Positive","Spectacular result."
"LEGO Star Wars Millennium Falcon 75192","178","Negative","Too tedious."
"LEGO Star Wars Millennium Falcon 75192","179","Positive","Love the BB-8 figure."
"LEGO Star Wars Millennium Falcon 75192","180","Positive","Highly detailed."
"LEGO Star Wars Millennium Falcon 75192","181","Neutral","Box is heavy."
"LEGO Star Wars Millennium Falcon 75192","182","Positive","Totally worth it."
"LEGO Star Wars Millennium Falcon 75192","183","Positive","Impressive engineering."
"LEGO Star Wars Millennium Falcon 75192","184","Negative","Pricey."
"LEGO Star Wars Millennium Falcon 75192","185","Positive","Collector's dream."
"LEGO Star Wars Millennium Falcon 75192","186","Positive","Unbelievable scale."
"LEGO Star Wars Millennium Falcon 75192","187","Neutral","Fragile panels."
"LEGO Star Wars Millennium Falcon 75192","188","Positive","Build of a lifetime."
"LEGO Star Wars Millennium Falcon 75192","189","Positive","Great gift."
"LEGO Star Wars Millennium Falcon 75192","190","Positive","Looks real."
"LEGO Star Wars Millennium Falcon 75192","191","Negative","Stickers are bad."
"LEGO Star Wars Millennium Falcon 75192","192","Positive","Pure awesome."
"LEGO Star Wars Millennium Falcon 75192","193","Positive","Loved it."
"LEGO Star Wars Millennium Falcon 75192","194","Neutral","Takes a long time."
"LEGO Star Wars Millennium Falcon 75192","195","Positive","Masterpiece."
"LEGO Star Wars Millennium Falcon 75192","196","Positive","Huge."
"LEGO Star Wars Millennium Falcon 75192","197","Negative","Hard to move."
"LEGO Star Wars Millennium Falcon 75192","198","Positive","Amazing details."
"LEGO Star Wars Millennium Falcon 75192","199","Positive","Star Wars fan heaven."
"LEGO Star Wars Millennium Falcon 75192","200","Positive","The best LEGO set in history."
