product_name,opinion_id,sentiment,opinion,score
Hearts of Iron IV,34,positive,"Best grand strategy game ever made. Learning curve is steep, but the payoff is huge. Addicting loop.",5
Hearts of Iron IV,1,positive,"Absolute masterpiece of map painting. Learning curve is steep, but the payoff is huge. Would capitulate France again.",5
Hearts of Iron IV,169,negative,"I want to like this game, but I can't. Multiplayer is toxic and unstable. Disappointed.",2
Hearts of Iron IV,118,negative,"I want to like this game, but I can't. Late game lag is unbearable on high-end PCs. Fix your game Paradox.",2
Hearts of Iron IV,69,positive,Complex but incredibly rewarding. Building a massive tank division is pure dopamine. Paradox has done it again.,5
Hearts of Iron IV,135,negative,"The AI is absolutely braindead. Battle plans never work, units just shuffle around aimlessly. Waste of time and money.",2
Hearts of Iron IV,32,positive,The modding community saves this game. I still don't understand the navy but the green bubbles make me happy. Better than Civ.,5
Hearts of Iron IV,124,negative,Unplayable without mods. Navy makes zero sense no matter how many tutorials you watch. Disappointed.,1
Hearts of Iron IV,193,negative,Do not buy this unless you have $300 for DLCs. Late game lag is unbearable on high-end PCs. I can't support this business model.,2
Hearts of Iron IV,21,positive,"Absolute masterpiece of map painting. Learning curve is steep, but the payoff is huge. Requires a PhD to play, but worth it.",5
Hearts of Iron IV,54,positive,"1000 hours in and I'm just getting started. Great soundtrack and atmosphere. Requires a PhD to play, but worth it.",4
Hearts of Iron IV,194,negative,Laggy mess. Frontlines break constantly for no reason. Go play HOI3 or Darkest Hour instead.,2
Hearts of Iron IV,138,negative,Too complex for its own good. The peace conferences are completely broken. Fix your game Paradox.,1
Hearts of Iron IV,174,negative,Spreadsheet simulator 2016. The peace conferences are completely broken. Not recommended for sane people.,1
Hearts of Iron IV,133,negative,Do not buy this unless you have $300 for DLCs. They hide essential mechanics behind paywalls. Go play HOI3 or Darkest Hour instead.,2
Hearts of Iron IV,151,negative,"Do not buy this unless you have $300 for DLCs. Battle plans never work, units just shuffle around aimlessly. Disappointed.",2
Hearts of Iron IV,77,positive,Absolute masterpiece of map painting. The supply system is actually good now. Paradox has done it again.,4
Hearts of Iron IV,71,positive,"I have lost my social life to this game. Building a massive tank division is pure dopamine. Don't look at the DLC price, just get the subscription.",4
Hearts of Iron IV,8,positive,Best grand strategy game ever made. I still don't understand the navy but the green bubbles make me happy. Artillery only is the way.,4
Hearts of Iron IV,128,negative,"I want to like this game, but I can't. Battle plans never work, units just shuffle around aimlessly. Refunded.",2
Hearts of Iron IV,64,positive,Best grand strategy game ever made. The alternate history paths are hilarious and fun. Highly recommended.,4
Hearts of Iron IV,165,negative,Paradox DLC policy is a joke. Navy makes zero sense no matter how many tutorials you watch. Wait for a 90% sale.,2
Hearts of Iron IV,78,positive,"Finally understand geography better than my teacher. Learning curve is steep, but the payoff is huge. Requires a PhD to play, but worth it.",4
Hearts of Iron IV,145,negative,"I want to like this game, but I can't. The peace conferences are completely broken. Disappointed.",2
Hearts of Iron IV,93,positive,Worth every penny if you like history. Great soundtrack and atmosphere. Highly recommended.,5
Hearts of Iron IV,63,positive,"1000 hours in and I'm just getting started. The alternate history paths are hilarious and fun. Requires a PhD to play, but worth it.",5
Hearts of Iron IV,190,negative,"Bought the game for $40, need $200 more to actually play it.",2
Hearts of Iron IV,27,positive,I have lost my social life to this game. Great soundtrack and atmosphere. Would capitulate France again.,4
Hearts of Iron IV,107,negative,"Too complex for its own good. Battle plans never work, units just shuffle around aimlessly. Go play HOI3 or Darkest Hour instead.",2
Hearts of Iron IV,181,negative,"Do not buy this unless you have $300 for DLCs. Battle plans never work, units just shuffle around aimlessly. Go play HOI3 or Darkest Hour instead.",1
Hearts of Iron IV,61,positive,Absolute masterpiece of map painting. Kaiserreich is basically a whole new game. Paradox has done it again.,4
Hearts of Iron IV,186,negative,Spreadsheet simulator 2016. Navy makes zero sense no matter how many tutorials you watch. Fix your game Paradox.,2
Hearts of Iron IV,79,positive,"I have lost my social life to this game. Learning curve is steep, but the payoff is huge. Highly recommended.",4
Hearts of Iron IV,142,negative,Do not buy this unless you have $300 for DLCs. You have to pay $20 just to get focus trees for minor nations. Refunded.,1
Hearts of Iron IV,185,negative,"Paradox DLC policy is a joke. Battle plans never work, units just shuffle around aimlessly. It's just a map coloring book that costs too much.",1
Hearts of Iron IV,81,positive,I have lost my social life to this game. I still don't understand the navy but the green bubbles make me happy. Better than Civ.,4
Hearts of Iron IV,143,negative,Paradox DLC policy is a joke. Multiplayer is toxic and unstable. Refunded.,1
Hearts of Iron IV,9,positive,Paid $40 to stare at a map for 5 hours. Would do again. I still don't understand the navy but the green bubbles make me happy. Better than Civ.,4
Hearts of Iron IV,125,negative,"I want to like this game, but I can't. You have to pay $20 just to get focus trees for minor nations. It's just a map coloring book that costs too much.",2
Hearts of Iron IV,47,positive,Finally understand geography better than my teacher. Building a massive tank division is pure dopamine. Paradox has done it again.,4
Hearts of Iron IV,115,negative,Optimization is non-existent. Multiplayer is toxic and unstable. Go play HOI3 or Darkest Hour instead.,2
Hearts of Iron IV,170,negative,Why is the AI abandoning the Maginot Line?,2
Hearts of Iron IV,46,positive,Best grand strategy game ever made. The alternate history paths are hilarious and fun. Just buy it.,5
Hearts of Iron IV,96,positive,"Complex but incredibly rewarding. The alternate history paths are hilarious and fun. Don't look at the DLC price, just get the subscription.",4
Hearts of Iron IV,72,positive,Absolute masterpiece of map painting. I still don't understand the navy but the green bubbles make me happy. Would capitulate France again.,5
Hearts of Iron IV,11,positive,Complex but incredibly rewarding. Kaiserreich is basically a whole new game. Say goodbye to your sleep.,4
Hearts of Iron IV,13,positive,"Complex but incredibly rewarding. I still don't understand the navy but the green bubbles make me happy. Requires a PhD to play, but worth it.",4
Hearts of Iron IV,4,positive,I have lost my social life to this game. Great soundtrack and atmosphere. Just buy it.,4
Hearts of Iron IV,160,negative,"Bought the game for $40, need $200 more to actually play it.",2
Hearts of Iron IV,85,positive,I have lost my social life to this game. Great soundtrack and atmosphere. Better than Civ.,5
Hearts of Iron IV,101,negative,Optimization is non-existent. Late game lag is unbearable on high-end PCs. Disappointed.,1
Hearts of Iron IV,144,negative,Good game ruined by greed. They hide essential mechanics behind paywalls. I can't support this business model.,2
Hearts of Iron IV,199,negative,"I want to like this game, but I can't. Late game lag is unbearable on high-end PCs. Fix your game Paradox.",1
Hearts of Iron IV,60,positive,"Game crashed, opened it again immediately.",4
Hearts of Iron IV,177,negative,Spreadsheet simulator 2016. The tutorial teaches you literally nothing. Waste of time and money.,1
Hearts of Iron IV,20,positive,I formed the Roman Empire as Luxembourg. 10/10,5
Hearts of Iron IV,184,negative,"I want to like this game, but I can't. The game runs in slow motion past 1943. Go play HOI3 or Darkest Hour instead.",2
Hearts of Iron IV,173,negative,Optimization is non-existent. The game runs in slow motion past 1943. Go play HOI3 or Darkest Hour instead.,2
Hearts of Iron IV,182,negative,Good game ruined by greed. The game runs in slow motion past 1943. Wait for a 90% sale.,1
Hearts of Iron IV,171,negative,Too complex for its own good. They hide essential mechanics behind paywalls. Refunded.,1
Hearts of Iron IV,189,negative,The AI is absolutely braindead. Multiplayer is toxic and unstable. Disappointed.,2
Hearts of Iron IV,119,negative,Do not buy this unless you have $300 for DLCs. You have to pay $20 just to get focus trees for minor nations. Go play HOI3 or Darkest Hour instead.,2
Hearts of Iron IV,89,positive,Finally understand geography better than my teacher. Playing as minor nations is a great challenge. Would capitulate France again.,4
Hearts of Iron IV,152,negative,Laggy mess. You have to pay $20 just to get focus trees for minor nations. I can't support this business model.,2
Hearts of Iron IV,187,negative,"Laggy mess. Battle plans never work, units just shuffle around aimlessly. Disappointed.",2
Hearts of Iron IV,35,positive,"The modding community saves this game. Nothing beats the feeling of a perfect encirclement. Requires a PhD to play, but worth it.",4
Hearts of Iron IV,24,positive,Best grand strategy game ever made. Multiplayer is chaotic in the best way possible. Just buy it.,5
Hearts of Iron IV,195,negative,The AI is absolutely braindead. You have to pay $20 just to get focus trees for minor nations. Go play HOI3 or Darkest Hour instead.,2
Hearts of Iron IV,180,negative,I prefer having a life.,2
Hearts of Iron IV,86,positive,Worth every penny if you like history. The alternate history paths are hilarious and fun. Paradox has done it again.,4
Hearts of Iron IV,114,negative,Spreadsheet simulator 2016. They hide essential mechanics behind paywalls. I can't support this business model.,2
Hearts of Iron IV,38,positive,1000 hours in and I'm just getting started. Playing as minor nations is a great challenge. Just buy it.,5
Hearts of Iron IV,68,positive,1000 hours in and I'm just getting started. Kaiserreich is basically a whole new game. Say goodbye to your sleep.,5
Hearts of Iron IV,176,negative,Laggy mess. Multiplayer is toxic and unstable. Disappointed.,1
Hearts of Iron IV,168,negative,Do not buy this unless you have $300 for DLCs. The tutorial teaches you literally nothing. Fix your game Paradox.,1
Hearts of Iron IV,198,negative,Spreadsheet simulator 2016. You have to pay $20 just to get focus trees for minor nations. Boring and tedious.,2
Hearts of Iron IV,159,negative,"Laggy mess. Battle plans never work, units just shuffle around aimlessly. Boring and tedious.",1
Hearts of Iron IV,191,negative,Do not buy this unless you have $300 for DLCs. Multiplayer is toxic and unstable. Refunded.,1
Hearts of Iron IV,58,positive,War crimes simulator 10/10. The alternate history paths are hilarious and fun. Just buy it.,5
Hearts of Iron IV,19,positive,1000 hours in and I'm just getting started. Great soundtrack and atmosphere. Addicting loop.,5
Hearts of Iron IV,140,negative,Why is the AI abandoning the Maginot Line?,2
Hearts of Iron IV,26,positive,Worth every penny if you like history. Great soundtrack and atmosphere. Highly recommended.,5
Hearts of Iron IV,91,positive,Complex but incredibly rewarding. Great soundtrack and atmosphere. Paradox has done it again.,4
Hearts of Iron IV,131,negative,Optimization is non-existent. Frontlines break constantly for no reason. Fix your game Paradox.,2
Hearts of Iron IV,166,negative,Do not buy this unless you have $300 for DLCs. Multiplayer is toxic and unstable. Boring and tedious.,1
Hearts of Iron IV,127,negative,"Paradox DLC policy is a joke. Battle plans never work, units just shuffle around aimlessly. Wait for a 90% sale.",2
Hearts of Iron IV,188,negative,Too complex for its own good. Late game lag is unbearable on high-end PCs. Boring and tedious.,2
Hearts of Iron IV,150,negative,1945 runs at 1 frame per minute.,2
Hearts of Iron IV,2,positive,"1000 hours in and I'm just getting started. The supply system is actually good now. Don't look at the DLC price, just get the subscription.",4
Hearts of Iron IV,50,positive,"Game crashed, opened it again immediately.",4
Hearts of Iron IV,45,positive,"Paid $40 to stare at a map for 5 hours. Would do again. Learning curve is steep, but the payoff is huge. Paradox has done it again.",5
