product_name;opinion_id;sentiment;opinion(text);date
Smartwatch;OP0137;negative;Would not recommend.;30.06.2025
Backpack;OP0138;negative;Not worth the price.;17.11.2025
Backpack;OP0139;negative;Low quality materials.;30.04.2025
Coffee Maker;OP0140;negative;Terrible value for the money.;23.09.2025
Backpack;OP0141;negative;Stopped working after a week.;17.10.2025
Coffee Maker;OP0142;negative;Unreliable performance.;16.06.2025
Monitor;OP0143;negative;Very disappointing experience.;22.09.2025
Headphones;OP0144;negative;Not worth the price.;18.02.2025
Backpack;OP0145;negative;Terrible value for the money.;03.02.2025
Keyboard;OP0146;negative;Terrible value for the money.;10.05.2025
Smartwatch;OP0147;negative;Not worth the price.;06.07.2025
Keyboard;OP0148;negative;Not worth the price.;13.05.2025
Laptop;OP0149;negative;Not worth the price.;14.05.2025
Laptop;OP0150;negative;Low quality materials.;25.09.2025
Monitor;OP0151;negative;Low quality materials.;17.09.2025
Smartwatch;OP0152;negative;Poor build quality.;16.05.2025
Smartwatch;OP0153;negative;Unreliable performance.;13.01.2025
Headphones;OP0154;negative;Did not meet expectations.;11.01.2025
Coffee Maker;OP0155;negative;Low quality materials.;07.10.2025
Laptop;OP0156;negative;Low quality materials.;08.06.2025
Keyboard;OP0157;negative;Low quality materials.;10.11.2025
Smartphone;OP0158;negative;Did not meet expectations.;13.08.2025
Headphones;OP0159;negative;Very disappointing experience.;04.09.2025
Headphones;OP0160;negative;Poor build quality.;26.12.2024
Backpack;OP0161;negative;Very disappointing experience.;22.12.2024
Backpack;OP0162;negative;Poor build quality.;12.07.2025
Backpack;OP0163;negative;Would not recommend.;09.11.2025
Smartwatch;OP0164;negative;Unreliable performance.;17.03.2025
Backpack;OP0165;negative;Poor build quality.;27.05.2025
Backpack;OP0166;negative;Low quality materials.;07.10.2025
Coffee Maker;OP0167;negative;Very disappointing experience.;22.02.2025
Backpack;OP0168;negative;Low quality materials.;24.06.2025
Smartwatch;OP0169;negative;Low quality materials.;24.05.2025
Laptop;OP0170;negative;Stopped working after a week.;13.09.2025
Headphones;OP0171;negative;Terrible value for the money.;11.06.2025
Smartwatch;OP0172;negative;Poor build quality.;29.09.2025
Keyboard;OP0173;negative;Poor build quality.;28.10.2025
Smartphone;OP0174;negative;Low quality materials.;20.08.2025
Keyboard;OP0175;negative;Unreliable performance.;20.09.2025
Monitor;OP0176;negative;Stopped working after a week.;14.12.2024
Backpack;OP0177;negative;Unreliable performance.;19.12.2024
Headphones;OP0178;negative;Did not meet expectations.;29.11.2024
Smartwatch;OP0179;negative;Terrible value for the money.;19.10.2025
Backpack;OP0180;negative;Stopped working after a week.;04.09.2025
Coffee Maker;OP0181;negative;Terrible value for the money.;07.01.2025
Backpack;OP0182;negative;Unreliable performance.;09.11.2025
Laptop;OP0183;negative;Unreliable performance.;28.09.2025
Monitor;OP0184;negative;Would not recommend.;27.07.2025
Laptop;OP0185;negative;Would not recommend.;07.08.2025
Smartphone;OP0186;negative;Not worth the price.;25.01.2025
Smartwatch;OP0187;negative;Low quality materials.;09.04.2025
Monitor;OP0188;negative;Did not meet expectations.;13.06.2025
Laptop;OP0189;negative;Unreliable performance.;05.07.2025
Monitor;OP0190;negative;Terrible value for the money.;15.10.2025
Backpack;OP0191;negative;Would not recommend.;20.04.2025
Smartphone;OP0192;negative;Low quality materials.;30.12.2024
Backpack;OP0193;negative;Would not recommend.;02.01.2025
Smartphone;OP0194;negative;Very disappointing experience.;15.04.2025
Headphones;OP0195;negative;Low quality materials.;21.12.2024
Backpack;OP0196;negative;Stopped working after a week.;22.08.2025
Monitor;OP0197;negative;Would not recommend.;17.05.2025
Smartphone;OP0198;negative;Not worth the price.;31.08.2025
Coffee Maker;OP0199;negative;Terrible value for the money.;05.01.2025
Laptop;OP0200;negative;Did not meet expectations.;06.11.2025
