product_name,sentiment,opinion,score
LuminaDesk LED Lamp,negative,Very disappointed with this product.,0
SkyView 4K Drone,negative,Terrible performance.,0
FreshBlend Mini Blender,negative,Terrible performance.,1
SmartWatch X10,negative,I wouldn't buy it again.,0
ThunderGaming Mouse GX,negative,One of the worst purchases I've made.,2
ThunderGaming Mouse GX,negative,Not worth the price.,2
AeroCoffee Maker 3,negative,One of the worst purchases I've made.,1
PureSound BT Speaker,negative,I wouldn't buy it again.,2
UltraSound Earbuds Pro,negative,Not worth the price.,2
UltraSound Earbuds Pro,negative,Did not meet my expectations.,1
SmartWatch X10,negative,Did not meet my expectations.,0
SkyView 4K Drone,negative,I wouldn't buy it again.,0
UltraSound Earbuds Pro,negative,I wouldn't buy it again.,0
SmartWatch X10,negative,Did not meet my expectations.,2
SkyView 4K Drone,negative,Unreliable and poorly made.,2
SkyView 4K Drone,negative,One of the worst purchases I've made.,0
AquaPure Water Filter,negative,Very disappointed with this product.,1
PureSound BT Speaker,negative,Poor quality and difficult to use.,1
LuminaDesk LED Lamp,negative,Did not meet my expectations.,0
AquaPure Water Filter,negative,Poor quality and difficult to use.,1
EcoHeat Portable Heater,negative,Poor quality and difficult to use.,2
LuminaDesk LED Lamp,negative,Definitely not recommended.,2
EcoHeat Portable Heater,negative,Terrible performance.,2
SmartWatch X10,negative,I wouldn't buy it again.,0
AquaPure Water Filter,negative,Did not meet my expectations.,2
SkyView 4K Drone,negative,Poor quality and difficult to use.,1
FreshBlend Mini Blender,negative,Stopped working after a short time.,2
LuminaDesk LED Lamp,negative,Unreliable and poorly made.,0
ThunderGaming Mouse GX,negative,Not worth the price.,2
ThunderGaming Mouse GX,negative,I wouldn't buy it again.,0
UltraSound Earbuds Pro,negative,Did not meet my expectations.,0
PureSound BT Speaker,negative,Definitely not recommended.,0
ThunderGaming Mouse GX,negative,One of the worst purchases I've made.,2
UltraSound Earbuds Pro,negative,Stopped working after a short time.,2
SmartWatch X10,negative,I wouldn't buy it again.,1
EcoHeat Portable Heater,negative,Did not meet my expectations.,0
ThunderGaming Mouse GX,negative,Not worth the price.,2
AeroCoffee Maker 3,negative,I wouldn't buy it again.,1
UltraSound Earbuds Pro,negative,Terrible performance.,0
FreshBlend Mini Blender,negative,Terrible performance.,2
SmartWatch X10,negative,Very disappointed with this product.,1
AeroCoffee Maker 3,negative,Terrible performance.,0
SmartWatch X10,negative,Terrible performance.,0
UltraSound Earbuds Pro,negative,Unreliable and poorly made.,2
EcoHeat Portable Heater,negative,Definitely not recommended.,1
AeroCoffee Maker 3,negative,Definitely not recommended.,0
SmartWatch X10,negative,Stopped working after a short time.,0
PureSound BT Speaker,negative,Not worth the price.,1
FreshBlend Mini Blender,negative,Poor quality and difficult to use.,1
AeroCoffee Maker 3,negative,Poor quality and difficult to use.,0
SkyView 4K Drone,negative,One of the worst purchases I've made.,0
SkyView 4K Drone,negative,Poor quality and difficult to use.,0
ThunderGaming Mouse GX,negative,Poor quality and difficult to use.,2
SmartWatch X10,negative,One of the worst purchases I've made.,2
UltraSound Earbuds Pro,negative,Did not meet my expectations.,1
LuminaDesk LED Lamp,negative,Did not meet my expectations.,2
UltraSound Earbuds Pro,negative,Not worth the price.,1
UltraSound Earbuds Pro,negative,Poor quality and difficult to use.,2
SmartWatch X10,negative,I wouldn't buy it again.,0
FreshBlend Mini Blender,negative,I wouldn't buy it again.,2
PureSound BT Speaker,negative,Unreliable and poorly made.,0
EcoHeat Portable Heater,negative,Unreliable and poorly made.,0
LuminaDesk LED Lamp,negative,Very disappointed with this product.,2
ThunderGaming Mouse GX,negative,Stopped working after a short time.,2
SmartWatch X10,negative,I wouldn't buy it again.,2
SmartWatch X10,negative,Stopped working after a short time.,0
AeroCoffee Maker 3,negative,Stopped working after a short time.,1
AeroCoffee Maker 3,negative,One of the worst purchases I've made.,1
EcoHeat Portable Heater,negative,Terrible performance.,1
EcoHeat Portable Heater,negative,I wouldn't buy it again.,1
AeroCoffee Maker 3,negative,Not worth the price.,1
AquaPure Water Filter,negative,Terrible performance.,1
ThunderGaming Mouse GX,negative,Unreliable and poorly made.,1
EcoHeat Portable Heater,negative,Unreliable and poorly made.,1
EcoHeat Portable Heater,negative,Not worth the price.,2
PureSound BT Speaker,negative,I wouldn't buy it again.,1
EcoHeat Portable Heater,negative,Definitely not recommended.,1
ThunderGaming Mouse GX,negative,Poor quality and difficult to use.,2
EcoHeat Portable Heater,negative,Unreliable and poorly made.,0
EcoHeat Portable Heater,negative,Definitely not recommended.,1
AquaPure Water Filter,negative,Very disappointed with this product.,2
UltraSound Earbuds Pro,negative,Did not meet my expectations.,1
AquaPure Water Filter,negative,Unreliable and poorly made.,0
LuminaDesk LED Lamp,negative,One of the worst purchases I've made.,1
UltraSound Earbuds Pro,negative,Poor quality and difficult to use.,2
SmartWatch X10,negative,Definitely not recommended.,2
PureSound BT Speaker,negative,Terrible performance.,2
ThunderGaming Mouse GX,negative,Poor quality and difficult to use.,1
SkyView 4K Drone,negative,Terrible performance.,2
SkyView 4K Drone,negative,I wouldn't buy it again.,2
LuminaDesk LED Lamp,negative,I wouldn't buy it again.,1
